MOODLE COURSE STRUCTURE — DATA ENTRY REQUIREMENTS,,,,,,,,,,
Complete one row per activity. Work top to bottom within each module. Columns marked * are required.,,,,,,,,,,
COURSE & MODULE,,,,ACTIVITY,,,,PREREQUISITE,QUIZ SETTINGS,NOTES
Course Name *,Module No. *,Module Name *,Module Description,Activity Order *,Activity Type *,Activity Title *,Activity Description,Prerequisite Module,Quiz – Assessment Type,Notes
Personal Finance & Money Management,1,Your Relationship with Money,"How you think about money determines how you handle it. This module helps you understand your current money habits and build a healthier, more intentional relationship with your finances.",1,Video,Understanding Your Money Mindset,Explore the beliefs and habits you grew up with about money. Identify which ones serve you well and which ones hold you back.,None,,
,,,,2,Video,Where Does Your Money Go?,Track your actual spending for one week using a simple method. Most people are shocked to discover where their money really goes.,,,
,,,,3,Video,The Difference Between Needs and Wants,Learn a practical framework for separating genuine needs from emotional wants so you can make spending decisions you will not regret.,,,
,,,,4,Note,Reading material for module 1,,,,
,,,,5,Quiz,Module 1 Assessment,"Please read before starting:

Ensure a stable internet connection before starting the assessment.
Attempt all questions before the time ends.
When the time runs out, the system will automatically submit and grade the questions you attempted.
You may have multiple attempts, so use each attempt carefully.
Do not switch to other apps, tabs, or browsers during the assessment.
Do not use unauthorized materials such as notes, books, or AI tools unless specifically allowed.
Answer honestly and do your own work.
Failure to follow these instructions may result in disqualification or cancellation of the assessment.
Good luck!",,,
,2,Budgeting: Controlling Your Money,A budget is not a restriction. It is a plan that gives you control. This module teaches you how to build and stick to a budget that works for your real life.,1,Video,Building Your First Budget,"Create a simple monthly budget using the 50/30/20 framework: needs, wants, and savings. Use your actual income and expenses.",Module 1,,
,,,,2,Video,Sticking to Your Budget,"Discover the practical strategies that help real people stick to their budget: cash envelopes, weekly check-ins, and spending limits by category.",,,
,,,,3,Video,Adjusting When Life Changes,"Learn how to adapt your budget when your income changes, unexpected expenses arise, or life circumstances shift.",,,
,,,,4,Note,Reading material for module 2,,,,
,,,,5,Quiz,Module 2 Assessment,"Please read before starting:

Ensure a stable internet connection before starting the assessment.
Attempt all questions before the time ends.
When the time runs out, the system will automatically submit and grade the questions you attempted.
You may have multiple attempts, so use each attempt carefully.
Do not switch to other apps, tabs, or browsers during the assessment.
Do not use unauthorized materials such as notes, books, or AI tools unless specifically allowed.
Answer honestly and do your own work.
Failure to follow these instructions may result in disqualification or cancellation of the assessment.
Good luck!",,,
,3,Saving and Building an Emergency Fund,"Saving money is not about deprivation. It is about building options and security. Learn how to save consistently, even on a modest Ethiopian salary.",1,Video,Why Saving is Non-Negotiable,"Understand why even small, consistent savings create enormous long-term security. See the real impact of saving just 10% of your income over 5 years.",Module 2,,
,,,,2,Video,Building Your Emergency Fund,"Learn the concept of an emergency fund: how much you need, where to keep it, and how to build it gradually without feeling deprived.",,,
,,,,3,Video,Saving for Goals,"Learn to set specific savings goals (a phone, a course, a business idea) and create a plan to reach each one systematically.",,,
,,,,4,Note,Reading material for module 3,,,,
,,,,5,Quiz,Module 3 Assessment,"Please read before starting:

Ensure a stable internet connection before starting the assessment.
Attempt all questions before the time ends.
When the time runs out, the system will automatically submit and grade the questions you attempted.
You may have multiple attempts, so use each attempt carefully.
Do not switch to other apps, tabs, or browsers during the assessment.
Do not use unauthorized materials such as notes, books, or AI tools unless specifically allowed.
Answer honestly and do your own work.
Failure to follow these instructions may result in disqualification or cancellation of the assessment.
Good luck!",,,
,4,Avoiding Debt Traps,"Debt can destroy financial freedom faster than anything else. This module teaches you how to borrow wisely, avoid predatory lending, and escape the debt cycle.",1,Video,Understanding Good Debt vs Bad Debt,"Learn the difference between borrowing to build (education, a business) and borrowing to consume (phones, clothes, lifestyle). One builds wealth; the other destroys it.",Module 3,,
,,,,2,Video,Common Debt Traps in Ethiopia,"Identify the lending practices that trap young Ethiopians: informal loans with hidden terms, mobile lending apps with extreme interest, and social pressure to borrow.",,,
,,,,3,Video,Getting Out of Debt,"If you already have debt, learn a step-by-step plan to pay it off: prioritise by interest rate, negotiate terms, cut expenses temporarily, and never borrow to repay a loan.",,,
,,,,4,Note,Reading material for module 4,,,,
,,,,5,Quiz,Module 4 Assessment,"Please read before starting:

Ensure a stable internet connection before starting the assessment.
Attempt all questions before the time ends.
When the time runs out, the system will automatically submit and grade the questions you attempted.
You may have multiple attempts, so use each attempt carefully.
Do not switch to other apps, tabs, or browsers during the assessment.
Do not use unauthorized materials such as notes, books, or AI tools unless specifically allowed.
Answer honestly and do your own work.
Failure to follow these instructions may result in disqualification or cancellation of the assessment.
Good luck!",,,
,5,Growing Your Money Over Time,"Financial security is a marathon, not a sprint. This module introduces you to simple, accessible ways to grow your money and build wealth over the long term.",1,Video,Introduction to Investing,"Understand the basic concept of making your money work for you: savings accounts, equbs, bonds, and other accessible options for Ethiopian earners.",Module 4,,
,,,,2,Video,Protecting Your Income,"Learn why insurance and diversified income sources protect you from the unexpected: health emergencies, job loss, and family obligations.",,,
,,,,3,Video,Your Personal Financial Plan,"Build a complete personal financial plan: your budget, your savings targets, your debt repayment plan, and your long-term wealth-building strategy.",,,
,,,,4,Note,Reading material for module 5,,,,
,,,,5,Quiz,Module 5 Final Assessment,"Please read before starting:

Ensure a stable internet connection before starting the assessment.
Attempt all questions before the time ends.
When the time runs out, the system will automatically submit and grade the questions you attempted.
You may have multiple attempts, so use each attempt carefully.
Do not switch to other apps, tabs, or browsers during the assessment.
Do not use unauthorized materials such as notes, books, or AI tools unless specifically allowed.
Answer honestly and do your own work.
Failure to follow these instructions may result in disqualification or cancellation of the assessment.
Good luck!",,,
